number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_omega,params_rho,state
11,166.66666666666666,2026-06-22 15:24:57.321707,2026-06-22 15:24:58.515086,0 days 00:00:01.193379,2.737207095452425,1.0324012564499296,1432.294972003988,0.0636433937924807,COMPLETE
12,166.66666666666666,2026-06-22 15:24:58.515129,2026-06-22 15:24:59.643497,0 days 00:00:01.128368,0.5080358249978473,1.0117917846745526,3477.283800250988,0.15135357069869987,COMPLETE
13,176.47058823529412,2026-06-22 15:24:59.643537,2026-06-22 15:25:00.995585,0 days 00:00:01.352048,2.400307454193767,1.7133892168983245,1334.7073671494775,0.4989700941697588,COMPLETE
14,176.47058823529412,2026-06-22 15:25:00.995624,2026-06-22 15:25:02.336834,0 days 00:00:01.341210,1.901625616755028,1.478832614586683,1766.4459101405914,0.39151602914949923,COMPLETE
15,176.47058823529412,2026-06-22 15:25:02.336886,2026-06-22 15:25:03.675793,0 days 00:00:01.338907,2.475975796914658,2.1878648482128336,4960.809402601692,0.15188610331032937,COMPLETE
16,166.66666666666666,2026-06-22 15:25:03.675838,2026-06-22 15:25:04.926431,0 days 00:00:01.250593,0.5246245052595535,1.3268465929273168,923.6724177617318,0.3829718171668319,COMPLETE
17,176.47058823529412,2026-06-22 15:25:04.926471,2026-06-22 15:25:06.290107,0 days 00:00:01.363636,2.0504138138659664,2.5012743799555444,4104.82042850304,0.2064168849629964,COMPLETE
18,166.66666666666666,2026-06-22 15:25:06.290151,2026-06-22 15:25:07.614550,0 days 00:00:01.324399,1.5370233601558767,1.8336258631098337,2859.8477305643582,0.11508632163316843,COMPLETE
19,176.47058823529412,2026-06-22 15:25:07.614611,2026-06-22 15:25:09.039577,0 days 00:00:01.424966,2.9721696332339542,3.1460687672504575,1890.4088087925938,0.36363009245950995,COMPLETE
20,176.47058823529412,2026-06-22 15:25:09.039616,2026-06-22 15:25:10.409292,0 days 00:00:01.369676,1.593869912073222,1.2718947697439447,3282.3752821603407,0.243031914974288,COMPLETE
21,176.47058823529412,2026-06-22 15:25:10.409334,2026-06-22 15:25:11.817744,0 days 00:00:01.408410,2.2275275435360924,1.6438746535372701,3982.247162691502,0.18999383278949286,COMPLETE
22,166.66666666666666,2026-06-22 15:25:11.817787,2026-06-22 15:25:13.247171,0 days 00:00:01.429384,2.634043137311747,1.9567750047498382,3829.151846349917,0.11085959889457225,COMPLETE
23,166.66666666666666,2026-06-22 15:25:13.247216,2026-06-22 15:25:14.540605,0 days 00:00:01.293389,2.336275192273222,1.4006248644804407,4599.174325352638,0.12266955444226324,COMPLETE
24,166.66666666666666,2026-06-22 15:25:14.540644,2026-06-22 15:25:15.878005,0 days 00:00:01.337361,2.10588373247944,1.043471959501164,3572.5728642420395,0.19838764846910711,COMPLETE
25,166.66666666666666,2026-06-22 15:25:15.878068,2026-06-22 15:25:17.305380,0 days 00:00:01.427312,1.8639103184114212,2.04691203010502,4344.18719218315,0.17106872655415412,COMPLETE
26,166.66666666666666,2026-06-22 15:25:17.305424,2026-06-22 15:25:18.633458,0 days 00:00:01.328034,1.1936979374012937,1.5843806979991655,2766.0787021990996,0.23084226806902364,COMPLETE
27,176.47058823529412,2026-06-22 15:25:18.633506,2026-06-22 15:25:20.083426,0 days 00:00:01.449920,2.5843665352694285,2.59498395095991,1085.916961453731,0.28334193000582153,COMPLETE
28,166.66666666666666,2026-06-22 15:25:20.083467,2026-06-22 15:25:21.373933,0 days 00:00:01.290466,2.788652796902038,1.1872388757139667,3083.199994666622,0.08370661960207484,COMPLETE
29,176.47058823529412,2026-06-22 15:25:21.373973,2026-06-22 15:25:22.744844,0 days 00:00:01.370871,2.157432251548399,1.5461680550862305,2356.8366076179636,0.3316021120593723,COMPLETE
30,176.47058823529412,2026-06-22 15:25:22.744891,2026-06-22 15:25:24.208244,0 days 00:00:01.463353,1.676087230301464,2.338123799501693,1843.6752856173957,0.4900118853860391,COMPLETE
31,176.47058823529412,2026-06-22 15:25:24.208286,2026-06-22 15:25:25.491368,0 days 00:00:01.283082,2.681320146726588,1.0007121029668395,1477.672548642427,0.10507093444173325,COMPLETE
